#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
28,CVE-2006-4538,,,DoS,2006-09-05,2018-10-30,4.9,None,Local,Low,Not required,None,None,Complete,"Linux kernel 2.6.17 and earlier, when running on IA64 or SPARC platforms, allows local users to cause a denial of service (crash) via a malformed ELF file that triggers memory maps that cross region boundaries."
29,CVE-2006-4535,399,,DoS,2006-09-19,2017-10-10,4.9,None,Local,Low,Not required,None,None,Complete,"The Linux kernel 2.6.17.10 and 2.6.17.11 and 2.6.18-rc5 allows local users to cause a denial of service (crash) via an SCTP socket with a certain SO_LINGER value, possibly related to the patch for CVE-2006-3745. NOTE: older kernel versions for specific Linux distributions are also affected, due to backporting of the CVE-2006-3745 patch."
30,CVE-2006-4145,399,,DoS,2006-08-21,2018-10-17,4.9,None,Local,Low,Not required,None,None,Complete,"The Universal Disk Format (UDF) filesystem driver in Linux kernel 2.6.17 and earlier allows local users to cause a denial of service (hang and crash) via certain operations involving truncated files, as demonstrated via the dd command."
31,CVE-2006-4093,,,DoS,2006-08-21,2018-10-17,4.9,None,Local,Low,Not required,None,None,Complete,"Linux kernel 2.x.6 before 2.6.17.9 and 2.4.x before 2.4.33.1 on PowerPC PPC970 systems allows local users to cause a denial of service (crash) related to the ""HID0 attention enable on PPC970 at boot time."""
32,CVE-2006-3745,,,DoS +Priv,2006-08-23,2018-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Unspecified vulnerability in the sctp_make_abort_user function in the SCTP implementation in Linux 2.6.x before 2.6.17.10 and 2.4.23 up to 2.4.33 allows local users to cause a denial of service (panic) and possibly gain root privileges via unknown attack vectors.
33,CVE-2006-3741,,,DoS,2006-10-10,2018-10-30,4.9,None,Local,Low,Not required,None,None,Complete,"The perfmonctl system call (sys_perfmonctl) in Linux kernel 2.4.x and 2.6 before 2.6.18, when running on Itanium systems, does not properly track the reference count for file descriptors, which allows local users to cause a denial of service (file descriptor consumption)."
34,CVE-2006-3634,,,DoS,2006-08-04,2011-01-19,4.9,None,Local,Low,Not required,None,None,Complete,"The (1) __futex_atomic_op and (2) futex_atomic_cmpxchg_inatomic functions in Linux kernel 2.6.17-rc4 to 2.6.18-rc2 perform the atomic futex operation in the kernel address space instead of the user address space, which allows local users to cause a denial of service (crash)."
35,CVE-2006-3626,,,+Priv,2006-07-18,2018-10-18,6.2,Admin,Local,High,Not required,Complete,Complete,Complete,Race condition in Linux kernel 2.6.17.4 and earlier allows local users to gain root privileges by using prctl with PR_SET_DUMPABLE in a way that causes /proc/self/environ to become setuid root.
36,CVE-2006-3468,,,DoS,2006-07-21,2018-10-30,7.8,None,Remote,Low,Not required,None,None,Complete,"Linux kernel 2.6.x, when using both NFS and EXT3, allows remote attackers to cause a denial of service (file system panic) via a crafted UDP packet with a V2 lookup procedure that specifies a bad file handle (inode number), which triggers an error and causes an exported directory to be remounted read-only."
37,CVE-2006-3085,,,DoS,2006-06-23,2018-10-18,7.8,None,Remote,Low,Not required,None,None,Complete,xt_sctp in netfilter for Linux kernel before 2.6.17.1 allows attackers to cause a denial of service (infinite loop) via an SCTP chunk with a 0 length.
38,CVE-2006-2936,399,,DoS,2006-07-10,2018-10-18,7.8,None,Remote,Low,Not required,None,None,Complete,"The ftdi_sio driver (usb/serial/ftdi_sio.c) in Linux kernel 2.6.x up to 2.6.17, and possibly later versions, allows local users to cause a denial of service (memory consumption) by writing more data to the serial port than the hardware can handle, which causes the data to be queued."
39,CVE-2006-2935,,,Exec Code Overflow,2006-07-05,2018-10-30,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The dvd_read_bca function in the DVD handling code in drivers/cdrom/cdrom.c in Linux kernel 2.2.16, and later versions, assigns the wrong value to a length variable, which allows local users to execute arbitrary code via a crafted USB Storage device that triggers a buffer overflow."
40,CVE-2006-2934,399,,DoS,2006-06-30,2018-10-18,5.0,None,Remote,Low,Not required,None,None,Partial,"SCTP conntrack (ip_conntrack_proto_sctp.c) in netfilter for Linux kernel 2.6.17 before 2.6.17.3 and 2.6.16 before 2.6.16.23 allows remote attackers to cause a denial of service (crash) via a packet without any chunks, which causes a variable to contain an invalid value that is later used to dereference a pointer."
41,CVE-2006-2932,,,DoS,2006-08-23,2017-10-10,4.9,None,Local,Low,Not required,None,None,Complete,A regression error in the restore_all code path of the 4/4GB split support for non-hugemem Linux kernels on Red Hat Linux Desktop and Enterprise Linux 4 allows local users to cause a denial of service (panic) via unspecified vectors.
42,CVE-2006-2629,,,DoS Mem. Corr.,2006-05-27,2017-07-19,4.0,None,Local,High,Not required,None,None,Complete,"Race condition in Linux kernel 2.6.15 to 2.6.17, when running on SMP platforms, allows local users to cause a denial of service (crash) by creating and exiting a large number of tasks, then accessing the /proc entry of a task that is exiting, which causes memory corruption that leads to a failure in the prune_dcache function or a BUG_ON error in include/linux/list.h."
43,CVE-2006-2451,399,,DoS +Priv,2006-07-07,2018-10-18,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The suid_dumpable support in Linux kernel 2.6.13 up to versions before 2.6.17.4, and 2.6.16 before 2.6.16.24, allows a local user to cause a denial of service (disk consumption) and possibly gain privileges via the PR_SET_DUMPABLE argument of the prctl function and a program that causes a core dump file to be created in a directory for which the user does not have permissions."
44,CVE-2006-2448,,,DoS,2006-06-23,2018-10-18,5.6,None,Local,High,Not required,Complete,None,Complete,"Linux kernel before 2.6.16.21 and 2.6.17, when running on PowerPC, does not perform certain required access_ok checks, which allows local users to read arbitrary kernel memory on 64-bit systems (signal_64.c) and cause a denial of service (crash) and possibly read kernel memory on 32-bit systems (signal_32.c)."
45,CVE-2006-2446,,,DoS,2006-08-15,2017-10-10,5.4,None,Remote,High,Not required,None,None,Complete,"Race condition between the kfree_skb and __skb_unlink functions in the socket buffer handling in Linux kernel 2.6.9, and possibly other versions, allows remote attackers to cause a denial of service (crash), as demonstrated using the TCP stress tests from the LTP test suite."
46,CVE-2006-2445,,,DoS,2006-06-23,2018-10-18,4.0,None,Local,High,Not required,None,None,Complete,Race condition in run_posix_cpu_timers in Linux kernel before 2.6.16.21 allows local users to cause a denial of service (BUG_ON crash) by causing one CPU to attach a timer to a process that is exiting.
47,CVE-2006-2444,,,DoS,2006-05-25,2018-10-30,7.8,None,Remote,Low,Not required,None,None,Complete,"The snmp_trap_decode function in the SNMP NAT helper for Linux kernel before 2.6.16.18 allows remote attackers to cause a denial of service (crash) via unspecified remote attack vectors that cause failures in snmp_trap_decode that trigger (1) frees of random memory or (2) frees of previously-freed memory (double-free) by snmp_trap_decode as well as its calling function, as demonstrated via certain test cases of the PROTOS SNMP test suite."
48,CVE-2006-2071,,,Bypass,2006-04-27,2018-10-18,2.1,None,Local,Low,Not required,None,Partial,None,"Linux kernel 2.4.x and 2.6.x up to 2.6.16 allows local users to bypass IPC permissions and modify a readonly attachment of shared memory by using mprotect to give write permission to the attachment. NOTE: some original raw sources combined this issue with CVE-2006-1524, but they are different bugs."
49,CVE-2006-1864,,,Dir. Trav.,2006-04-26,2018-10-18,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"Directory traversal vulnerability in smbfs in Linux 2.6.16 and earlier allows local users to escape chroot restrictions for an SMB-mounted filesystem via ""..\\"" sequences, a similar vulnerability to CVE-2006-1863."
50,CVE-2006-1863,,,Dir. Trav.,2006-04-25,2017-10-10,2.1,None,Local,Low,Not required,Partial,None,None,"Directory traversal vulnerability in CIFS in Linux 2.6.16 and earlier allows local users to escape chroot restrictions for an SMB-mounted filesystem via ""..\\"" sequences, a similar vulnerability to CVE-2006-1864."
51,CVE-2006-1862,,,DoS,2006-05-24,2017-10-10,4.9,None,Local,Low,Not required,None,None,Complete,The virtual memory implementation in Linux kernel 2.6.x allows local users to cause a denial of service (panic) by running lsof a large number of times in a way that produces a heavy system load.
52,CVE-2006-1860,,,DoS,2006-05-11,2017-07-19,2.1,None,Local,Low,Not required,None,None,Partial,lease_init in fs/locks.c in Linux kernel before 2.6.16.16 allows attackers to cause a denial of service (fcntl_setlease lockup) via actions that cause lease_init to free a lock that might not have been allocated on the stack.
53,CVE-2006-1859,,,DoS,2006-05-11,2017-07-19,2.1,None,Local,Low,Not required,None,None,Partial,"Memory leak in __setlease in fs/locks.c in Linux kernel before 2.6.16.16 allows attackers to cause a denial of service (memory consumption) via unspecified actions related to an ""uninitialised return value,"" aka ""slab leak."""
54,CVE-2006-1858,20,,DoS Exec Code,2006-05-22,2017-10-10,7.8,None,Remote,Low,Not required,None,None,Complete,SCTP in Linux kernel before 2.6.16.17 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a chunk length that is inconsistent with the actual length of provided parameters.
55,CVE-2006-1857,119,,DoS Exec Code Overflow,2006-05-22,2017-10-10,9.0,None,Remote,Low,Not required,Partial,Partial,Complete,Buffer overflow in SCTP in Linux kernel before 2.6.16.17 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a malformed HB-ACK chunk.
56,CVE-2006-1856,,,Bypass,2006-05-19,2017-10-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,"Certain modifications to the Linux kernel 2.6.16 and earlier do not add the appropriate Linux Security Modules (LSM) file_permission hooks to the (1) readv and (2) writev functions, which might allow attackers to bypass intended access restrictions."
57,CVE-2006-1855,,,DoS,2006-05-18,2017-10-10,2.1,None,Local,Low,Not required,None,None,Partial,"choose_new_parent in Linux kernel before 2.6.11.12 includes certain debugging code, which allows local users to cause a denial of service (panic) by causing certain circumstances involving termination of a parent process."
58,CVE-2006-1624,,,DoS,2006-04-05,2018-10-18,7.8,None,Remote,Low,Not required,None,None,Complete,"The default configuration of syslogd in the Linux sysklogd package does not enable the -x (disable name lookups) option, which allows remote attackers to cause a denial of service (traffic amplification) via messages with spoofed source IP addresses."
59,CVE-2006-1528,20,,DoS,2006-05-18,2018-10-30,4.9,None,Local,Low,Not required,None,None,Complete,Linux kernel before 2.6.13 allows local users to cause a denial of service (crash) via a dio transfer from the sg driver to memory mapped (mmap) IO space.
60,CVE-2006-1527,,,DoS,2006-05-03,2017-10-10,5.0,None,Remote,Low,Not required,None,None,Partial,The SCTP-netfilter code in Linux kernel before 2.6.16.13 allows remote attackers to trigger a denial of service (infinite loop) via unknown vectors that cause an invalid SCTP chunk size to be processed by the for_each_sctp_chunk function.
61,CVE-2006-1525,399,,DoS,2006-04-19,2018-10-03,4.9,None,Local,Low,Not required,None,None,Complete,"ip_route_input in Linux kernel 2.6 before 2.6.16.8 allows local users to cause a denial of service (panic) via a request for a route for a multicast IP address, which triggers a null dereference."
62,CVE-2006-1524,264,,Bypass,2006-04-19,2017-07-19,3.6,None,Local,Low,Not required,Partial,Partial,None,"madvise_remove in Linux kernel 2.6.16 up to 2.6.16.6 does not follow file and mmap restrictions, which allows local users to bypass IPC permissions and replace portions of readonly tmpfs files with zeroes, aka the MADV_REMOVE vulnerability. NOTE: this description was originally written in a way that combined two separate issues. The mprotect issue now has a separate name, CVE-2006-2071."
63,CVE-2006-1523,,,,2006-04-12,2016-10-17,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"The __group_complete_signal function in the RCU signal handling (signal.c) in Linux kernel 2.6.16, and possibly other versions, has unknown impact and attack vectors related to improper use of BUG_ON."
64,CVE-2006-1522,20,,DoS,2006-04-10,2017-10-10,4.9,None,Local,Low,Not required,None,None,Complete,"The sys_add_key function in the keyring code in Linux kernel 2.6.16.1 and 2.6.17-rc1, and possibly earlier versions, allows local users to cause a denial of service (OOPS) via keyctl requests that add a key to a user key instead of a keyring key, which causes an invalid dereference in the __keyring_search_one function."
65,CVE-2006-1368,119,,DoS Overflow Mem. Corr.,2006-03-23,2018-10-03,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the USB Gadget RNDIS implementation in the Linux kernel before 2.6.16 allows remote attackers to cause a denial of service (kmalloc'd memory corruption) via a remote NDIS response to OID_GEN_SUPPORTED_LIST, which causes memory to be allocated for the reply data but not the reply structure."
66,CVE-2006-1343,,,,2006-03-21,2018-10-18,2.1,None,Local,Low,Not required,Partial,None,None,"net/ipv4/netfilter/ip_conntrack_core.c in Linux kernel 2.4 and 2.6, and possibly net/ipv4/netfilter/nf_conntrack_l3proto_ipv4.c in 2.6, does not clear sockaddr_in.sin_zero before returning IPv4 socket names from the getsockopt function with SO_ORIGINAL_DST, which allows local users to obtain portions of potentially sensitive memory."
67,CVE-2006-1342,,,,2006-03-21,2018-10-18,2.1,None,Local,Low,Not required,Partial,None,None,"net/ipv4/af_inet.c in Linux kernel 2.4 does not clear sockaddr_in.sin_zero before returning IPv4 socket names from the (1) getsockname, (2) getpeername, and (3) accept functions, which allows local users to obtain portions of potentially sensitive memory."
68,CVE-2006-1242,,,Bypass,2006-03-15,2018-10-18,5.0,None,Remote,Low,Not required,Partial,None,None,"The ip_push_pending_frames function in Linux 2.4.x and 2.6.x before 2.6.16 increments the IP ID field when sending a RST after receiving unsolicited TCP SYN-ACK packets, which allows remote attackers to conduct an Idle Scan (nmap -sI) attack, which bypasses intended protections against such attacks."
69,CVE-2006-1066,,,DoS,2006-03-26,2018-10-03,1.2,None,Local,High,Not required,None,None,Partial,"Linux kernel 2.6.16-rc2 and earlier, when running on x86_64 systems with preemption enabled, allows local users to cause a denial of service (oops) via multiple ptrace tasks that perform single steps, which can cause corruption of the DEBUG_STACK stack during the do_debug function call."
70,CVE-2006-1056,310,,+Info,2006-04-20,2018-10-30,2.1,None,Local,Low,Not required,Partial,None,None,"The Linux kernel before 2.6.16.9 and the FreeBSD kernel, when running on AMD64 and other 7th and 8th generation AuthenticAMD processors, only save/restore the FOP, FIP, and FDP x87 registers in FXSAVE/FXRSTOR when an exception is pending, which allows one process to determine portions of the state of floating point instructions of other processes, which can be leveraged to obtain sensitive information such as cryptographic keys. NOTE: this is the documented behavior of AMD64 processors, but it is inconsistent with Intel processors in a security-relevant fashion that was not addressed by the kernels."
71,CVE-2006-1055,,,DoS,2006-04-05,2018-10-03,4.9,None,Local,Low,Not required,None,None,Complete,"The fill_write_buffer function in sysfs/file.c in Linux kernel 2.6.12 up to versions before 2.6.17-rc1 does not zero terminate a buffer when a length of PAGE_SIZE or more is requested, which might allow local users to cause a denial of service (crash) by causing an out-of-bounds read."
72,CVE-2006-1052,,,,2006-05-05,2018-10-30,2.1,None,Local,Low,Not required,None,None,Partial,The selinux_ptrace logic in hooks.c in SELinux for Linux 2.6.6 allows local users with ptrace permissions to change the tracer SID to an SID of another process.
73,CVE-2006-0744,20,,,2006-04-18,2018-10-30,4.9,None,Local,Low,Not required,None,None,Complete,"Linux kernel before 2.6.16.5 does not properly handle uncanonical return addresses on Intel EM64T CPUs, which reports an exception in the SYSRET instead of the next instruction, which causes the kernel exception handler to run on the user stack with the wrong GS."
74,CVE-2006-0742,,,DoS,2006-03-09,2018-10-03,4.6,None,Local,Low,Single system,None,None,Complete,"The die_if_kernel function in arch/ia64/kernel/unaligned.c in Linux kernel 2.6.x before 2.6.15.6, possibly when compiled with certain versions of gcc, has the ""noreturn"" attribute set, which allows local users to cause a denial of service by causing user faults on Itanium systems."
75,CVE-2006-0741,,,DoS,2006-03-06,2018-10-03,1.2,None,Local,High,Not required,None,None,Partial,"Linux kernel before 2.6.15.5, when running on Intel processors, allows local users to cause a denial of service (""endless recursive fault"") via unknown attack vectors related to a ""bad elf entry address."""
76,CVE-2006-0558,,,DoS,2006-04-14,2017-10-10,4.9,None,Local,Low,Not required,None,None,Complete,"perfmon (perfmon.c) in Linux kernel on IA64 architectures allows local users to cause a denial of service (crash) by interrupting a task while another process is accessing the mm_struct, which triggers a BUG_ON action in the put_page_testzero function."
77,CVE-2006-0557,,,,2006-03-12,2018-10-03,4.9,None,Local,Low,Not required,None,None,Complete,"sys_mbind in mempolicy.c in Linux kernel 2.6.16 and earlier does not sanity check the maxnod variable before making certain computations for the get_nodes function, which has unknown impact and attack vectors."
78,CVE-2006-0555,,,DoS,2006-03-06,2018-10-03,2.1,None,Local,Low,Not required,None,None,Partial,The Linux Kernel before 2.6.15.5 allows local users to cause a denial of service (NFS client panic) via unknown attack vectors related to the use of O_DIRECT (direct I/O).
79,CVE-2006-0554,,,+Info,2006-03-06,2018-10-03,1.7,None,Local,Low,Single system,None,Partial,None,"Linux kernel 2.6 before 2.6.15.5 allows local users to obtain sensitive information via a crafted XFS ftruncate call, which may return stale data."
80,CVE-2006-0482,,,DoS,2006-01-31,2017-07-19,2.1,None,Local,Low,Not required,None,None,Partial,"Linux kernel 2.6.15.1 and earlier, when running on SPARC architectures, allows local users to cause a denial of service (hang) via a ""date -s"" command, which causes invalid sign extended arguments to be provided to the get_compat_timespec function call."
81,CVE-2006-0457,,,DoS,2006-03-13,2018-10-03,7.1,None,Remote,High,Not required,Complete,None,Complete,"Race condition in the (1) add_key, (2) request_key, and (3) keyctl functions in Linux kernel 2.6.x allows local users to cause a denial of service (crash) or read sensitive kernel memory by modifying the length of a string argument between the time that the kernel calculates the length and when it copies the data into kernel memory."
82,CVE-2006-0456,,,DoS,2006-06-27,2017-10-10,2.1,None,Local,Low,Not required,None,None,Partial,"The strnlen_user function in Linux kernel before 2.6.16 on IBM S/390 can return an incorrect value, which allows local users to cause a denial of service via unknown vectors."
83,CVE-2006-0454,399,,DoS,2006-02-07,2018-10-19,5.0,None,Remote,Low,Not required,None,None,Partial,"Linux kernel before 2.6.15.3 down to 2.6.12, while constructing an ICMP response in icmp_send, does not properly handle when the ip_options_echo function in icmp.c fails, which allows remote attackers to cause a denial of service (crash) via vectors such as (1) record-route and (2) timestamp IP options with the needaddr bit set and a truncated value."
84,CVE-2006-0096,,,,2006-01-06,2018-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"wan/sdla.c in Linux kernel 2.6.x before 2.6.11 and 2.4.x before 2.4.29 does not require the CAP_SYS_RAWIO privilege for an SDLA firmware upgrade, with unknown impact and local attack vectors. NOTE: further investigation suggests that this issue requires root privileges to exploit, since it is protected by CAP_NET_ADMIN; thus it might not be a vulnerability, although capabilities provide finer distinctions between privilege levels."
85,CVE-2006-0095,,,+Info,2006-01-06,2018-10-19,2.1,None,Local,Low,Not required,Partial,None,None,"dm-crypt in Linux kernel 2.6.15 and earlier does not clear a structure before it is freed, which leads to a memory disclosure that could allow local users to obtain sensitive information about a cryptographic key."
86,CVE-2006-0039,362,,,2006-05-19,2017-10-10,4.7,None,Local,High,Not required,Partial,None,Complete,"Race condition in the do_add_counters function in netfilter for Linux kernel 2.6.16 allows local users with CAP_NET_ADMIN capabilities to read kernel memory by triggering the race condition in a way that produces a size value that is inconsistent with allocated memory, which leads to a buffer over-read in IPT_ENTRY_ITERATE."
